,date,econ,mdns,oppo,overs,runs,venue,wickets
145,17 Mar 2007,3.00,1,v Bangladesh,10.0,30,Port of Spain,0
146,23 Mar 2007,5.30,0,v Sri Lanka,10.0,53,Port of Spain,0
147,6 Jun 2007,5.30,0,v Africa XI,10.0,53,Bangalore,1
148,10 Jun 2007,4.80,0,v Africa XI,10.0,48,Chennai,3
149,2 Oct 2007,5.70,0,v Australia,10.0,57,Kochi,0
150,5 Oct 2007,3.80,1,v Australia,10.0,38,Hyderabad (Deccan),0
151,8 Oct 2007,4.30,0,v Australia,10.0,43,Chandigarh,2
152,11 Oct 2007,4.00,0,v Australia,9.0,36,Vadodara,0
153,14 Oct 2007,7.00,0,v Australia,8.0,56,Nagpur,1
154,17 Oct 2007,4.42,0,v Australia,7.0,31,Mumbai,0
155,5 Nov 2007,2.90,0,v Pakistan,10.0,29,Guwahati,1
156,8 Nov 2007,6.50,0,v Pakistan,10.0,65,Mohali,2
157,11 Nov 2007,3.20,0,v Pakistan,10.0,32,Kanpur,1
158,15 Nov 2007,5.20,0,v Pakistan,10.0,52,Gwalior,0
159,5 Feb 2008,-,-,v Sri Lanka,TDNB,-,Brisbane,-
160,10 Feb 2008,2.37,2,v Australia,8.0,19,Melbourne,1
161,12 Feb 2008,3.75,0,v Sri Lanka,4.0,15,Canberra,1
162,17 Feb 2008,4.00,0,v Australia,10.0,40,Adelaide,1
163,19 Feb 2008,5.40,0,v Sri Lanka,10.0,54,Adelaide,1
164,24 Feb 2008,5.55,0,v Australia,9.0,50,Sydney,0
165,26 Feb 2008,4.08,0,v Sri Lanka,4.1,17,Hobart,1
166,2 Mar 2008,3.80,0,v Australia,10.0,38,Sydney,2
167,4 Mar 2008,4.40,0,v Australia,10.0,44,Brisbane,1
168,18 Aug 2008,4.50,0,v Sri Lanka,4.0,18,Dambulla,0
169,20 Aug 2008,4.58,0,v Sri Lanka,5.4,26,Dambulla,2
170,24 Aug 2008,2.90,0,v Sri Lanka,10.0,29,Colombo (RPS),1
171,27 Aug 2008,4.00,0,v Sri Lanka,10.0,40,Colombo (RPS),3
172,14 Nov 2008,5.87,0,v England,8.0,47,Rajkot,1
173,17 Nov 2008,4.50,0,v England,10.0,45,Indore,1
174,20 Nov 2008,3.10,2,v England,10.0,31,Kanpur,3
175,23 Nov 2008,10.50,0,v England,4.0,42,Bangalore,1
176,26 Nov 2008,4.70,0,v England,10.0,47,Cuttack,1
177,3 Mar 2009,6.75,0,v New Zealand,4.0,27,Napier,3
178,6 Mar 2009,-,-,v New Zealand,TDNB,-,Wellington,-
179,8 Mar 2009,5.60,0,v New Zealand,10.0,56,Christchurch,2
180,11 Mar 2009,6.25,0,v New Zealand,8.0,50,Hamilton,0
181,14 Mar 2009,3.75,0,v New Zealand,4.0,15,Auckland,0
182,26 Jun 2009,5.60,0,v West Indies,10.0,56,Kingston,1
183,28 Jun 2009,5.51,0,v West Indies,8.1,45,Kingston,0
184,3 Jul 2009,7.00,0,v West Indies,5.0,35,Gros Islet,2
185,11 Sep 2009,4.87,0,v New Zealand,8.0,39,Colombo (RPS),0
186,12 Sep 2009,3.70,1,v Sri Lanka,10.0,37,Colombo (RPS),1
187,14 Sep 2009,5.79,0,v Sri Lanka,9.4,56,Colombo (RPS),5
188,26 Sep 2009,7.10,0,v Pakistan,10.0,71,Centurion,1
189,28 Sep 2009,6.00,0,v Australia,9.0,54,Centurion,0
190,30 Sep 2009,1.75,2,v West Indies,8.0,14,Johannesburg,2
191,25 Oct 2009,5.70,0,v Australia,10.0,57,Vadodara,1
192,28 Oct 2009,6.20,0,v Australia,10.0,62,Nagpur,1
193,31 Oct 2009,3.70,0,v Australia,10.0,37,Delhi,1
194,2 Nov 2009,4.80,0,v Australia,10.0,48,Mohali,2
195,5 Nov 2009,4.40,0,v Australia,10.0,44,Hyderabad (Deccan),1
196,8 Nov 2009,2.30,1,v Australia,10.0,23,Guwahati,2
197,15 Dec 2009,5.80,0,v Sri Lanka,10.0,58,Rajkot,2
198,18 Dec 2009,5.80,0,v Sri Lanka,10.0,58,Nagpur,1
199,21 Dec 2009,3.22,0,v Sri Lanka,9.0,29,Cuttack,1
200,24 Dec 2009,5.30,0,v Sri Lanka,10.0,53,Kolkata,1
201,27 Dec 2009,3.00,0,v Sri Lanka,4.0,12,Delhi,1
202,5 Jan 2010,4.70,1,v Sri Lanka,10.0,47,Dhaka,3
203,7 Jan 2010,6.22,0,v Bangladesh,9.0,56,Dhaka,1
204,13 Jan 2010,4.10,0,v Sri Lanka,10.0,41,Dhaka,2
205,16 Jun 2010,4.57,0,v Bangladesh,7.0,32,Dambulla,1
206,19 Jun 2010,5.87,0,v Pakistan,8.0,47,Dambulla,2
207,24 Jun 2010,3.33,0,v Sri Lanka,9.0,30,Dambulla,0
208,12 Jan 2011,5.60,0,v South Africa,10.0,56,Durban,1
209,15 Jan 2011,3.20,0,v South Africa,10.0,32,Johannesburg,1
210,18 Jan 2011,2.55,1,v South Africa,9.0,23,Cape Town,2
211,21 Jan 2011,6.10,0,v South Africa,10.0,61,Port Elizabeth,0
212,23 Jan 2011,4.12,0,v South Africa,8.0,33,Centurion,0
213,19 Feb 2011,4.10,0,v Bangladesh,10.0,41,Dhaka,1
214,27 Feb 2011,5.80,0,v England,10.0,58,Bangalore,1
215,6 Mar 2011,3.22,1,v Ireland,9.0,29,Bangalore,0
216,9 Mar 2011,3.10,0,v Netherlands,10.0,31,Delhi,0
217,12 Mar 2011,5.88,0,v South Africa,9.0,53,Nagpur,3
218,20 Mar 2011,3.88,1,v West Indies,9.0,35,Chennai,1
