version,1
info,team,Kolkata Knight Riders
info,team,Royal Challengers Bangalore
info,gender,male
info,season,2012
info,date,2012/04/28
info,competition,Indian Premier League
info,match_number,38
info,venue,Eden Gardens
info,city,Kolkata
info,toss_winner,Kolkata Knight Riders
info,toss_decision,bat
info,player_of_match,G Gambhir
info,umpire,Asad Rauf
info,umpire,BR Doctrove
info,reserve_umpire,AS Pathania
info,tv_umpire,S Asnani
info,match_referee,RR Jadeja
info,winner,Kolkata Knight Riders
info,winner_runs,47
ball,1,16.1,Kolkata Knight Riders,G Gambhir,JH Kallis,HV Patel,1,0,"",""
ball,1,16.2,Kolkata Knight Riders,JH Kallis,G Gambhir,HV Patel,1,0,"",""
ball,1,16.3,Kolkata Knight Riders,G Gambhir,JH Kallis,HV Patel,6,0,"",""
ball,1,16.4,Kolkata Knight Riders,G Gambhir,JH Kallis,HV Patel,1,0,"",""
ball,1,16.5,Kolkata Knight Riders,JH Kallis,G Gambhir,HV Patel,6,0,"",""
ball,1,16.6,Kolkata Knight Riders,JH Kallis,G Gambhir,HV Patel,1,0,"",""
ball,1,17.1,Kolkata Knight Riders,JH Kallis,G Gambhir,R Vinay Kumar,1,0,"",""
ball,1,17.2,Kolkata Knight Riders,G Gambhir,JH Kallis,R Vinay Kumar,1,0,"",""
ball,1,17.3,Kolkata Knight Riders,JH Kallis,G Gambhir,R Vinay Kumar,2,0,"",""
ball,1,17.4,Kolkata Knight Riders,JH Kallis,G Gambhir,R Vinay Kumar,1,0,"",""
ball,1,17.5,Kolkata Knight Riders,G Gambhir,JH Kallis,R Vinay Kumar,0,1,"",""
ball,1,17.6,Kolkata Knight Riders,G Gambhir,JH Kallis,R Vinay Kumar,0,0,"",""
ball,1,17.7,Kolkata Knight Riders,G Gambhir,JH Kallis,R Vinay Kumar,1,0,"",""
ball,1,18.1,Kolkata Knight Riders,G Gambhir,JH Kallis,Z Khan,1,0,"",""
ball,1,18.2,Kolkata Knight Riders,JH Kallis,G Gambhir,Z Khan,6,0,"",""
ball,1,18.3,Kolkata Knight Riders,JH Kallis,G Gambhir,Z Khan,1,0,"",""
ball,1,18.4,Kolkata Knight Riders,G Gambhir,JH Kallis,Z Khan,0,0,caught,G Gambhir
ball,1,18.5,Kolkata Knight Riders,JH Kallis,YK Pathan,Z Khan,6,0,"",""
ball,1,18.6,Kolkata Knight Riders,JH Kallis,YK Pathan,Z Khan,0,0,"",""
ball,1,19.1,Kolkata Knight Riders,YK Pathan,JH Kallis,R Vinay Kumar,0,1,"",""
ball,1,19.2,Kolkata Knight Riders,JH Kallis,YK Pathan,R Vinay Kumar,0,0,caught,JH Kallis
ball,1,19.3,Kolkata Knight Riders,YK Pathan,MK Tiwary,R Vinay Kumar,6,0,"",""
ball,1,19.4,Kolkata Knight Riders,YK Pathan,MK Tiwary,R Vinay Kumar,1,0,"",""
ball,1,19.5,Kolkata Knight Riders,MK Tiwary,YK Pathan,R Vinay Kumar,1,0,"",""
ball,1,19.6,Kolkata Knight Riders,YK Pathan,MK Tiwary,R Vinay Kumar,0,0,caught,YK Pathan
ball,2,0.1,Royal Challengers Bangalore,TM Dilshan,CH Gayle,YK Pathan,0,0,"",""
ball,2,0.2,Royal Challengers Bangalore,TM Dilshan,CH Gayle,YK Pathan,1,0,"",""
ball,2,0.3,Royal Challengers Bangalore,CH Gayle,TM Dilshan,YK Pathan,0,0,"",""
